start_utc,end_utc,kp_interval_start_utc,kp_interval_end_utc,proton_flux_above_10_mev_mean_pred,proton_flux_above_10_mev_mean_lower,proton_flux_above_10_mev_mean_upper,proton_flux_above_10_mev_max_pred,proton_flux_above_10_mev_max_lower,proton_flux_above_10_mev_max_upper,proton_flux_above_50_mev_mean_pred,proton_flux_above_50_mev_mean_lower,proton_flux_above_50_mev_mean_upper,proton_flux_above_50_mev_max_pred,proton_flux_above_50_mev_max_lower,proton_flux_above_50_mev_max_upper,proton_flux_above_100_mev_mean_pred,proton_flux_above_100_mev_mean_lower,proton_flux_above_100_mev_mean_upper,proton_flux_above_100_mev_max_pred,proton_flux_above_100_mev_max_lower,proton_flux_above_100_mev_max_upper,solar_xray_flux_long_mean_pred,solar_xray_flux_long_mean_lower,solar_xray_flux_long_mean_upper,solar_xray_flux_long_max_pred,solar_xray_flux_long_max_lower,solar_xray_flux_long_max_upper,geomagnetic_kp_pred,geomagnetic_kp_lower,geomagnetic_kp_upper,s_level,g_level,r_level,s_level_lower,g_level_lower,r_level_lower,s_level_upper,g_level_upper,r_level_upper,p_adverse,eva_allowed,reason,source_refs
2026-09-18T00:00:00+00:00,2026-09-18T00:30:00+00:00,2026-09-18T00:00:00+00:00,2026-09-18T03:00:00+00:00,0.21814563340426868,0.10021756827850077,0.2846063062506852,0.27591066007938914,0.10021756827850077,0.4645518610272128,0.20626274726908728,0.14142417445868802,0.24021359321669686,0.2204068825336759,0.14142417445868802,0.3095770307383291,0.20161795111483932,0.13381465286431665,0.23159671322681505,0.22519954075265092,0.13381465286431665,0.32676681782447636,4.568603952416126e-07,0.0,1.1758170490037471e-05,4.568603952416126e-07,0.0,2.5306119466427786e-05,1.7380571365356445,0.0,3.805013358592987,0,0,0,0,0,0,0,0,1,0.06586114317178726,True,"[""scales_below_policy_thresholds""]","[{""path"": ""/Users/ivacshsergey/hack/data/datasets/results.csv"", ""sha256"": ""4a81688ad0700caafdf9dbdaa607fd9e16b4dbe7e6ed5140aa51e4e667d1a588""}]"
2026-09-18T00:30:00+00:00,2026-09-18T01:00:00+00:00,2026-09-18T00:00:00+00:00,2026-09-18T03:00:00+00:00,0.22447685392763048,0.09896336521000923,0.3070772480008979,0.27391252427435164,0.09896336521000923,0.4642956752721651,0.20782964939765772,0.1408410664065476,0.24834112656266333,0.2321056520371014,0.1408410664065476,0.3357547015284202,0.20602837974799998,0.12469256494983487,0.2346270835805183,0.22133676922481668,0.12469256494983487,0.32338689832004536,2.3862784473254567e-07,0.0,1.2176218566158858e-05,2.3862784473254567e-07,0.0,2.5984469483264447e-05,1.7380571365356445,0.0,3.805013358592987,0,0,0,0,0,0,0,0,1,0.10532242804765701,True,"[""scales_below_policy_thresholds""]","[{""path"": ""/Users/ivacshsergey/hack/data/datasets/results.csv"", ""sha256"": ""4a81688ad0700caafdf9dbdaa607fd9e16b4dbe7e6ed5140aa51e4e667d1a588""}]"
2026-09-18T01:00:00+00:00,2026-09-18T01:30:00+00:00,2026-09-18T00:00:00+00:00,2026-09-18T03:00:00+00:00,0.22421931868574974,0.10259507627362187,0.3069320942131099,0.28573264386589736,0.10259507627362187,0.4972204840155433,0.20220682829480394,0.13430683104499627,0.23906163994444155,0.2097071353292862,0.13430683104499627,0.3048971023604542,0.19220623390060051,0.11937575503921502,0.22284693664895927,0.21401582182487594,0.11937575503921502,0.31458679499869163,2.589267472222252e-07,0.0,1.2378017232341556e-05,2.589267472222252e-07,0.0,2.631192016757977e-05,1.7380571365356445,0.0,3.805013358592987,0,0,0,0,0,0,0,0,1,0.10274112969636917,True,"[""scales_below_policy_thresholds""]","[{""path"": ""/Users/ivacshsergey/hack/data/datasets/results.csv"", ""sha256"": ""4a81688ad0700caafdf9dbdaa607fd9e16b4dbe7e6ed5140aa51e4e667d1a588""}]"
2026-09-18T01:30:00+00:00,2026-09-18T02:00:00+00:00,2026-09-18T00:00:00+00:00,2026-09-18T03:00:00+00:00,0.22592122923026503,0.10154983875450932,0.3250649107417926,0.284005977229668,0.10154983875450932,0.49440881389814545,0.20317939350147377,0.1300940544262146,0.23768648830799413,0.20317939350147377,0.1300940544262146,0.2966102723369988,0.19310593936309234,0.121127606906372,0.22519196416429935,0.2224891120875541,0.121127606906372,0.3233804893350789,4.558129909929498e-07,0.0,1.3069495610444733e-05,4.558129909929498e-07,0.0,2.7433954680405225e-05,1.7380571365356445,0.0,3.805013358592987,0,0,0,0,0,0,0,0,1,0.11816192418336868,True,"[""scales_below_policy_thresholds""]","[{""path"": ""/Users/ivacshsergey/hack/data/datasets/results.csv"", ""sha256"": ""4a81688ad0700caafdf9dbdaa607fd9e16b4dbe7e6ed5140aa51e4e667d1a588""}]"
2026-09-18T02:00:00+00:00,2026-09-18T02:30:00+00:00,2026-09-18T00:00:00+00:00,2026-09-18T03:00:00+00:00,0.23457384271892656,0.09920735941113974,0.3443045296747103,0.27083413030631254,0.09920735941113974,0.5117990946376193,0.21050813516893074,0.13740920759873615,0.2557021508037087,0.21615512128665176,0.13740920759873615,0.3251479410925844,0.20234054789999215,0.11973898756884892,0.2343268932826324,0.21923012228153774,0.11973898756884892,0.32683844779481086,3.7298314881328735e-07,0.0,1.3994309945718319e-05,3.7298314881328735e-07,0.0,2.893461418761814e-05,1.7380571365356445,0.0,3.805013358592987,0,0,0,0,0,0,0,0,1,0.1200893223285675,True,"[""scales_below_policy_thresholds""]","[{""path"": ""/Users/ivacshsergey/hack/data/datasets/results.csv"", ""sha256"": ""4a81688ad0700caafdf9dbdaa607fd9e16b4dbe7e6ed5140aa51e4e667d1a588""}]"
2026-09-18T02:30:00+00:00,2026-09-18T03:00:00+00:00,2026-09-18T00:00:00+00:00,2026-09-18T03:00:00+00:00,0.2407101005815766,0.10616830456775044,0.3686553566232712,0.2702667179957876,0.10616830456775044,0.5445103833557131,0.20210690660632508,0.13153773509171063,0.244223945549492,0.22236551933339824,0.13153773509171063,0.32427613517060566,0.2075180171272238,0.12203874357233968,0.2392465468006805,0.2075180171272238,0.12203874357233968,0.3041159403145586,7.373384838255664e-07,0.0,1.4565797434275175e-05,7.373384838255664e-07,0.0,2.9861944247551067e-05,1.7380571365356445,0.0,3.805013358592987,0,0,0,0,0,0,0,0,1,0.08205491304397583,True,"[""scales_below_policy_thresholds""]","[{""path"": ""/Users/ivacshsergey/hack/data/datasets/results.csv"", ""sha256"": ""4a81688ad0700caafdf9dbdaa607fd9e16b4dbe7e6ed5140aa51e4e667d1a588""}]"
2026-09-18T03:00:00+00:00,2026-09-18T03:30:00+00:00,2026-09-18T03:00:00+00:00,2026-09-18T06:00:00+00:00,0.23718518094603536,0.10083274780498822,0.38533081934581975,0.2943242586041118,0.10083274780498822,0.5758889570813703,0.21695794251480666,0.14230485935004156,0.2578010602779808,0.23354235428709758,0.14230485935004156,0.34542264299300107,0.20094032944254495,0.12054835552760672,0.23492362971677017,0.2232136697023812,0.12054835552760672,0.3285844245611213,6.809349295132633e-07,0.0,1.3840108692301216e-05,6.809349295132633e-07,0.0,2.868439793540567e-05,2.011351525783539,0.0,4.811239063739777,0,0,0,0,0,0,0,1,1,0.12052018940448761,True,"[""scales_below_policy_thresholds""]","[{""path"": ""/Users/ivacshsergey/hack/data/datasets/results.csv"", ""sha256"": ""4a81688ad0700caafdf9dbdaa607fd9e16b4dbe7e6ed5140aa51e4e667d1a588""}]"
2026-09-18T03:30:00+00:00,2026-09-18T04:00:00+00:00,2026-09-18T03:00:00+00:00,2026-09-18T06:00:00+00:00,0.2404121464381029,0.09326499050505262,0.39210710763902157,0.28269873720770233,0.09326499050505262,0.5604957654289382,0.20262675854576095,0.1293134834426605,0.2473755866037223,0.2277953135637728,0.1293134834426605,0.33165550435851404,0.19656136320878825,0.11747221931358365,0.2296158459387559,0.2190329978520516,0.11747221931358365,0.3181003186859399,6.495596663861283e-07,0.0,1.3839766238289236e-05,6.495596663861283e-07,0.0,2.8683842248875674e-05,2.011351525783539,0.0,4.811239063739777,0,0,0,0,0,0,0,1,1,0.09728142619132996,True,"[""scales_below_policy_thresholds""]","[{""path"": ""/Users/ivacshsergey/hack/data/datasets/results.csv"", ""sha256"": ""4a81688ad0700caafdf9dbdaa607fd9e16b4dbe7e6ed5140aa51e4e667d1a588""}]"
2026-09-18T04:00:00+00:00,2026-09-18T04:30:00+00:00,2026-09-18T03:00:00+00:00,2026-09-18T06:00:00+00:00,0.23824766895700922,0.09162235812381087,0.4038979125950764,0.2869718641690536,0.09162235812381087,0.557377190295745,0.21346994479905365,0.1405067112324485,0.2570949400456244,0.2272358160070027,0.1405067112324485,0.3437264590545416,0.19339085868843128,0.11841511600428203,0.22509719686926227,0.21561494829503286,0.11841511600428203,0.31748787083878593,5.451572347543853e-07,0.0,1.3239644308920253e-05,5.451572347543853e-07,0.0,2.7710048218608933e-05,2.011351525783539,0.0,4.811239063739777,0,0,0,0,0,0,0,1,1,0.10724041610956192,True,"[""scales_below_policy_thresholds""]","[{""path"": ""/Users/ivacshsergey/hack/data/datasets/results.csv"", ""sha256"": ""4a81688ad0700caafdf9dbdaa607fd9e16b4dbe7e6ed5140aa51e4e667d1a588""}]"
2026-09-18T04:30:00+00:00,2026-09-18T05:00:00+00:00,2026-09-18T03:00:00+00:00,2026-09-18T06:00:00+00:00,0.2567633868260359,0.10345884100324354,0.432793442655052,0.3067653810345405,0.10345884100324354,0.6389054296560135,0.19630235477169822,0.14374818663819922,0.23634134436919035,0.23959952331486978,0.14374818663819922,0.34264732797797537,0.1911485868276359,0.11677950967228175,0.2206652346143684,0.22333271801800753,0.11677950967228175,0.3290758089451808,6.070711212161541e-07,0.0,1.3773729196453875e-05,6.070711212161541e-07,0.0,2.857668656272475e-05,2.011351525783539,0.0,4.811239063739777,0,0,0,0,0,0,0,1,1,0.13495361804962158,True,"[""scales_below_policy_thresholds""]","[{""path"": ""/Users/ivacshsergey/hack/data/datasets/results.csv"", ""sha256"": ""4a81688ad0700caafdf9dbdaa607fd9e16b4dbe7e6ed5140aa51e4e667d1a588""}]"
